team,total_points,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14
AAA,264,12,14,16,18,20,22,24,26,24,22,18,18,16,14,1,3,5,7,1,1,1,1,1,1,7,5,3,1
Juicers,240,15,19,18,23,16,25,8,18,19,14,15,18,18,14,3,5,7,1,2,3,3,3,3,2,1,7,5,3
Other Guys,246,20,18,15,16,17,14,28,18,12,18,18,20,18,14,5,7,1,3,3,2,4,4,2,3,3,1,7,5
Lobbers,232,18,18,19,18,19,11,12,10,17,18,16,19,19,18,7,1,3,5,4,4,2,2,4,4,5,3,1,7
Green Beans,256,24,18,21,13,10,18,18,18,21,18,21,17,17,22,2,2,2,2,5,5,7,7,5,5,2,2,2,2
Golf Dudes,270,21,22,17,20,26,18,17,17,18,18,18,16,20,22,4,4,4,4,6,7,5,5,7,6,4,4,4,4
Smell Ya Later,256,16,17,20,18,18,18,19,19,15,18,20,18,18,22,6,6,6,6,7,6,6,6,6,7,6,6,6,6
